userId,movieId,ratting,timestamp,last,histHighRatedMovieIds,negHistMovieIds,gender,age,occupation,zipCode,title,genres,label
5034,1234,5,996342562,1.0,2396|318|919|1267|1299|3359|1307|912|908|1,3228|1022|2801|271|427|1875|3067|3832|2182|479,F,25,15,62901,"Sting, The (1973)",Comedy|Crime,1
5924,1234,5,957292057,1.0,1690|2013|2094|434|3430|466|153|2616|1379|1136,265|554|2083|1373|1601|886|3873|693|710|2559,M,35,0,55417,"Sting, The (1973)",Comedy|Crime,1
20,1371,4,1009669227,1.0,2571|457|110|1923|2858|2641|3753|3527|1527|1240,2337|3821|2650|2952|806|988|602|2827|2236|3224,M,25,14,55113,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,1
2774,1371,4,973099179,1.0,3671|1073|1082|1125|2640|2779|3635|2991|3639|1380,3511|524|2003|434|933|1220|1642|1248|463|1279,M,25,1,92103,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,1
4886,1371,3,962744036,1.0,1573|316|2528|329|3704|3032|2116|2311|2393|2105,2783|3613|1967|2398|40|2494|2270|415|2916|3932,F,35,17,92509,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,0
4899,1371,1,969321187,1.0,3016|1347|2003|3751|2871|1234|3396|1073|1387|2528,3851|1472|3374|3856|1779|2718|108|1384|3035|3268,M,25,12,94402,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,0
21,2800,4,978139540,1.0,3704|1210|2700|3000|3745,2201|3615|2625|2207|1193,M,18,16,99353,Little Nemo: Adventures in Slumberland (1992),Animation|Children's,1
22,910,4,991149892,1.0,678|1198|1291|1884|2046|3527|2011|3698|1034|908,307|3201|3348|1932|1905|1139|821|2469|395|1655,M,18,15,53706,Some Like It Hot (1959),Comedy|Crime,1
5331,910,4,1039438695,1.0,508|1094|1784|1101|3755|2858|1304|1183|1894|110,2889|2207|3299|543|873|1524|3173|2526|2417|1756,M,35,14,06880,Some Like It Hot (1959),Comedy|Crime,1
5405,910,5,994011499,1.0,2369|913|1959|2906|3185|1204|924|1942|1206|909,2886|3712|2253|3735|3788|2358|3640|496|2144|1824,F,50,7,12866,Some Like It Hot (1959),Comedy|Crime,1
23,2643,1,993707035,1.0,911|1258|1204|1222|1958|2712|3052|3740|2148|2617,3922|2890|2493|3052|742|1613|3827|178|3374|4,M,35,0,90049,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
689,2643,1,975585153,1.0,1374|1376|2454|1580|3927|2699|2311|2641|329|1371,1555|3456|633|1698|3708|1994|400|12|1886|2613,F,50,0,48103,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
2809,2643,2,993252205,1.0,3526|910|3471|1954|3911|3358|587|2409|435|2410,2876|865|1632|2666|2102|3909|1716|664|498|2957,M,25,7,10016,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
3761,2643,3,966093870,1.0,1610|3418|3578|592|2194|555|3811|1224|3699|1129,2297|2113|1155|131|405|2419|2457|1815|2222|3696,M,25,17,27613,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
3951,2643,2,965680085,1.0,3699|380|1377|1031|2143|329|2054|3755|2405|552,3163|2712|504|7|1666|714|2398|441|781|2918,F,18,4,60014,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
4183,2643,1,965333098,1.0,6|474|592|2406|1370|165|507|1378|1101|2722,2602|2904|2436|3577|2740|2457|815|2688|1201|2919,M,25,1,91730,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
4210,2643,1,965320290,1.0,2140|2985|3033|610|2311|2021|3770|2105|2288|2615,724|1346|539|824|2513|3483|3596|3779|666|1143,M,25,17,85710,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
4247,2643,3,965309511,1.0,2640|2011|1917|1375|1205|2393|3269|2034|1320|2038,3496|2815|2174|1958|156|520|3881|2822|397|3521,M,25,4,82601,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
5220,2643,2,961553275,1.0,2915|1663|1321|1081|2474|2734|3395|2133|3550|2513,2933|958|446|3639|3220|545|2521|907|822|2627,M,25,7,91436,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,0
25,3798,2,978386265,1.0,150|1610|1704|546|688|2324|1639|2541|3174|3745,2122|2323|3350|284|3446|1507|2282|1412|1011|2961,M,18,4,01609,What Lies Beneath (2000),Thriller,0
160,3798,3,1016381272,1.0,260|1396|1282|2858|480|1286|3408|3916|3598,1675|2030|256|2733|3327|3778|2057|3224|1480,M,35,7,13021,What Lies Beneath (2000),Thriller,0
886,3798,2,975256552,1.0,3328|3751|3598|3317|3185|3556|3510|3594|3320|3618,2505|2358|10|771|2087|3000|2655|1264|1617|1326,F,56,0,14830,What Lies Beneath (2000),Thriller,0
903,3798,3,975212564,1.0,3408|2861|3578|913|785|3219|2490|3753|3081|2762,1831|3312|3304|2270|3240|2844|2414|628|660|333,M,56,13,75165,What Lies Beneath (2000),Thriller,0
1809,3798,4,974699368,1.0,2716|2580|2690|2734|3300|2686|2396|2700|2762|3176,595|2929|263|2355|1820|921|3925|3341|255|2711,F,25,14,12189,What Lies Beneath (2000),Thriller,1
2057,3798,4,987257196,1.0,3510|2318|2333|2580|1959|2395|2762|2070|2763|2987,247|2019|22|628|3922|227|2028|340|2576|1136,M,35,1,49417,What Lies Beneath (2000),Thriller,1
2973,3798,4,971061389,1.0,3174|3623|2310|2394|24|1513|2395|2700|2762|2987,401|3822|3536|2786|580|2591|1925|1011|2719|3660,F,18,4,48108,What Lies Beneath (2000),Thriller,1
3235,3798,4,968360346,1.0,2724|2840|2841|2396|2700|2762|3157|3176|2987|3793,2273|237|2984|1524|2309|3028|3386|2369|2132|1242,M,18,4,87801,What Lies Beneath (2000),Thriller,1
3343,3798,4,967779963,1.0,2997|357|2671|2378|2144|318|3743|3861|3752|3617,454|3056|220|3482|2275|2105|1453|1132|578|2784,F,18,4,79912,What Lies Beneath (2000),Thriller,1
4135,3798,5,965358907,1.0,3617|3821|3052|2694|3354|3300|2762|3755|3767|3782,2998|3863|761|2779|2710|2011|55|3090|205|2871,M,1,10,46321,What Lies Beneath (2000),Thriller,1
4779,3798,4,967993910,1.0,1086|3363|162|1293|2067|1960|3873|3836|3809|3812,2080|318|2395|2131|3027|2284|3158|1058|2079|1900,M,45,3,04011,What Lies Beneath (2000),Thriller,1
5234,3798,1,965144072,1.0,2108|1895|937|3108|2080|1273|3210|2759|3788|3836,2963|1266|2059|3503|2888|2654|2241|1562|1228|1017,F,25,0,60657,What Lies Beneath (2000),Thriller,0
26,2683,1,978385333,1.0,1876|16|3614|45|3686|605|361|1457|2262|1784,2832|3210|3049|3247|2326|2754|355|1477|3464|1663,M,25,7,23112,Austin Powers: The Spy Who Shagged Me (1999),Comedy,0
359,2683,4,976317565,1.0,3033|1527|2985|2046|2528|1909|3770|2188|2706|2858,3625|3481|2377|3716|3842|1591|2314|2797|3699|3658,M,25,17,55128,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
1001,2683,2,1028605534,1.0,1483|1545|1282|3514|3854|2609|2769|3902|3317|953,3894|1025|13|814|80|786|941|1646|2036|1372,M,25,4,90210,Austin Powers: The Spy Who Shagged Me (1999),Comedy,0
1172,2683,3,975641282,1.0,2108|497|2502|932|1569|252|691|1573|185|3160,1747|661|2107|1268|2568|2725|947|1133|278|538,F,25,0,61801,Austin Powers: The Spy Who Shagged Me (1999),Comedy,0
2327,2683,4,974433199,1.0,2571|1676|671|780|1909|1917|2959|3409|3273|1127,5|1787|1887|249|1376|2782|3223|1125|328|1882,M,18,10,48169,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
2592,2683,3,974058659,1.0,780|2662|1925|2941|3066|2669|266|3836|3643|3585,2757|2003|2351|841|1551|1831|3287|3353|2013|2014,M,50,7,80004-4448,Austin Powers: The Spy Who Shagged Me (1999),Comedy,0
2855,2683,5,972506806,1.0,296|1213|2858|1148|1233|593|608|162|2706|2997,1715|734|2175|3564|1464|3468|2152|811|1782|3715,M,25,4,94102,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
3866,2683,3,1020184266,1.0,3445|2917|3871|1230|912|919|3836|1203|1233|2858,3265|734|585|2770|382|2422|1131|2766|3270|3789,M,45,14,63130,Austin Powers: The Spy Who Shagged Me (1999),Comedy,0
3904,2683,5,965767269,1.0,1321|1753|1025|2005|1205|2841|2058|520|3617|3717,3759|565|3536|2119|1260|2523|944|3540|3798|1591,M,1,10,48445,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
5662,2683,5,958934029,1.0,1777|3052|1265|1747|367|1784|2502|588|216|2860,2868|2944|627|896|3385|1462|1859|2870|1425|3560,M,1,10,07960,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
5914,2683,5,957333010,1.0,1089|1953|2917|293|555|866|1729|6|1500|1517,3831|3639|462|331|172|3561|3562|3535|1992|3571,M,35,2,91344,Austin Powers: The Spy Who Shagged Me (1999),Comedy,1
28,2132,5,978985335,1.0,906|2947|1660|2858|551|3793|2657|916|527|912,3849|486|2051|2006|1337|1493|426|2865|3895|1983,F,25,1,14607,Who's Afraid of Virginia Woolf? (1966),Drama,1
1374,2132,5,974877401,1.0,1945|1250|1103|3504|2609|1185|1193|1041|1233|3006,531|2154|518|3448|3054|2347|3542|787|3821|1987,M,50,1,91403,Who's Afraid of Virginia Woolf? (1966),Drama,1
3978,2132,5,965635918,1.0,1213|904|1212|1267|2186|2160|2202|3634|1193|2862,388|485|5|595|187|407|3005|3567|2790|22,M,35,13,78252,Who's Afraid of Virginia Woolf? (1966),Drama,1
5450,2132,5,1019516185,1.0,509|1643|1962|3812|705|3000|2021|3067|914|932,2396|389|2027|1081|2256|3800|1822|3120|3014|2493,M,18,12,02143,Who's Afraid of Virginia Woolf? (1966),Drama,1
29,2550,3,978136554,1.0,2993|2406|2527|610|2115|3639|2403|733|3836|3633,547|3851|3035|1262|138|3221|3458|714|1622|1891,M,35,7,33407,"Haunting, The (1963)",Horror|Thriller,0
33,2746,2,978985788,1.0,586|36|1834|2640|3507|2109|2993|2554|1729|1339,668|930|2062|1857|894|1379|49|923|2029|145,M,45,3,55421,Little Shop of Horrors (1986),Comedy|Horror|Musical,0
4177,2746,5,965338221,1.0,3576|3476|1994|2716|1407|2097|2455|2459|1347|2003,1276|1350|1429|3224|1565|3550|1556|3201|3357|1732,M,35,17,90680,Little Shop of Horrors (1986),Comedy|Horror|Musical,1
5169,2746,1,961894105,1.0,3505|1307|2918|3101|3412|1124|2407|3070|3649|3552,959|3289|606|2319|1049|2104|1033|2731|2621|2829,F,50,4,53562,Little Shop of Horrors (1986),Comedy|Horror|Musical,0
35,1162,3,978210919,1.0,1210|838|2100|2171|1733|708|2385|3703|910|3088,1371|1016|3412|69|2262|3599|2851|613|2242|1291,M,45,1,02482,"Ruling Class, The (1972)",Comedy,0
4348,1162,5,965485145,1.0,3081|3147|2976|2889|3155|3301|2890|3091|3477|3811,3790|696|549|3775|2711|1421|3098|791|1341|2308,M,45,0,30189,"Ruling Class, The (1972)",Comedy,1
36,3639,4,1040545125,1.0,2269|1701|3786|2369|3174|296|247|1266|595|1295,1656|397|3251|2685|1108|700|3627|1088|1641|1419,M,25,3,94123,"Man with the Golden Gun, The (1974)",Action,1
5715,3639,2,958614885,1.0,1252|1617|541|913|1748|3479|592|940|3265|1304,1096|1580|3624|369|2766|2609|2685|2985|591|570,M,18,4,90024,"Man with the Golden Gun, The (1974)",Action,0
6016,3639,2,995664224,1.0,3456|3245|3129|3894|930|1639|3685|3834|339|2875,1513|1929|1962|2246|1624|2861|235|666|945|3309,M,45,1,37209,"Man with the Golden Gun, The (1974)",Action,0
37,1088,5,978057358,1.0,361|708|1569|236|1457|252|1101|587|597|1380,1346|2471|2119|3473|751|2285|2716|1193|2444|2954,F,25,9,66212,Dirty Dancing (1987),Musical|Romance,1
1835,1088,4,974882489,1.0,595|1947|1028|364|1298|1035|2971|661|3142|1380,3238|2151|2307|1934|3652|1696|2481|1643|459|3530,M,25,19,11501,Dirty Dancing (1987),Musical|Romance,1
2102,1088,1,974657391,1.0,3868|1097|3360|3505|2716|1958|2795|1302|3101|2420,2397|2290|445|879|3652|2167|3340|3252|3362|46,M,25,11,48825,Dirty Dancing (1987),Musical|Romance,0
2170,1088,4,974612503,1.0,2117|2114|2757|2240|2469|2985|1286|2455|2470|2474,580|827|402|40|2457|1290|1543|2789|1663|1401,F,50,16,99114,Dirty Dancing (1987),Musical|Romance,1
2497,1088,5,974091466,1.0,2020|440|1008|2110|1246|1263|2871|2369|1086|3543,1581|3108|2643|721|1902|812|1936|3261|2467|3547,F,50,14,37922,Dirty Dancing (1987),Musical|Romance,1
2628,1088,3,973628906,1.0,2023|1701|381|1600|94|140|1234|3422|1210|2100,3135|1253|3716|1660|458|3543|2588|1482|745|2473,F,25,2,11217,Dirty Dancing (1987),Musical|Romance,0
3088,1088,3,969747971,1.0,2804|1956|1225|1961|2797|1307|1172|1197|2406|3699,1257|1925|1018|1845|3256|2715|2065|2851|1622|2823,F,25,4,87110,Dirty Dancing (1987),Musical|Romance,0
39,86,4,978044402,1.0,3623|3753|24|2692|2395|2396|2700|3114|2763|3793,1322|2868|3528|2538|3677|3003|2715|1272|3194|2557,M,18,4,61820,White Squall (1996),Adventure|Drama,1
354,86,5,976324280,1.0,3219|2502|3753|2598|2013|2686|2762|3157|2070|3793,3224|76|1884|1020|3658|1021|1671|463|602|3329,M,35,1,55117,White Squall (1996),Adventure|Drama,1
1572,86,4,974739543,1.0,3203|3238|2605|3408|2688|3219|3753|2841|3176|3798,2965|840|3738|454|1729|2709|3092|3671|2284|177,F,25,3,02155,White Squall (1996),Adventure|Drama,1
2261,86,3,974585378,1.0,2490|2396|2762|2841|3185|2700|2702|3114|3176|2987,1085|882|2514|1586|2585|907|2679|956|1070|1830,M,25,5,33025,White Squall (1996),Adventure|Drama,0
2548,86,4,974036582,1.0,2716|3623|1959|2013|3219|2762|3157|3114|3176|2763,2752|2133|445|1905|590|1798|2857|1878|3631|3396,F,35,6,37919,White Squall (1996),Adventure|Drama,1
2633,86,3,973613137,1.0,2716|2580|2761|3606|1513|2762|2693|3114|2763|2987,3365|2633|968|2482|1344|2388|1764|2610|2690|2277,F,35,9,07728,White Squall (1996),Adventure|Drama,0
2680,86,4,973400762,1.0,2605|3175|2716|3578|1959|2395|2762|2700|3384|2763,3917|818|3226|2414|3284|1601|3256|3043|3500|237,M,25,12,01864,White Squall (1996),Adventure|Drama,1
3180,86,3,968804802,1.0,2025|3168|1053|590|2474|508|2076|2022|175|365,398|1274|1361|2226|1672|2484|1733|3823|391|152,M,25,14,07430,White Squall (1996),Adventure|Drama,0
3206,86,3,968561245,1.0,2959|407|785|3174|2723|2093|2560|2840|2841|2987,702|1053|3607|1311|789|2297|1094|776|703|574,M,18,20,44089,White Squall (1996),Adventure|Drama,0
4131,86,4,965353301,1.0,2147|2038|2722|3113|2428|2713|913|2526|2490|2670,2439|2207|2692|1372|510|2901|1061|2586|573|186,M,45,7,97720,White Squall (1996),Adventure|Drama,1
4597,86,4,964221054,1.0,1270|480|1127|2771|2605|3623|3512|2485|2724|2762,44|3365|3400|3264|2905|1429|3489|717|1207|3064,F,25,4,22207,White Squall (1996),Adventure|Drama,1
40,2817,1,978041398,1.0,976|3406|3628|356|3062|2287|3643|161|780|466,1047|1888|1329|3625|3280|132|110|171|2180|1285,M,45,0,10543,Aces: Iron Eagle III (1992),Action|War,0
41,1643,5,978041582,1.0,2628|260|1210|1196|1688|1658|671|2710|2719|2762,2924|1434|3702|3363|1608|2135|2324|2904|1656|3872,F,18,4,15116,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Drama|Romance,1
1038,1643,4,974990259,1.0,1061|1393|2565|2611|1177|1287|3350|249|906|3255,759|1785|3802|1609|2323|2630|2876|2716|2842|3406,F,56,15,20194,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Drama|Romance,1
42,2371,4,978041996,1.0,1663|3526|1968|2423|1297|2406|2134|3552|3087|2111,2471|2080|2062|2521|3748|2508|1201|2679|3750|3620,M,25,8,24502,Fletch (1985),Comedy,1
3482,2371,4,967071679,1.0,3634|1198|1197|1347|802|2662|1136|1625|2457|2762,860|1056|157|3246|1457|840|2957|167|2534|3174,M,50,17,08043,Fletch (1985),Comedy,1
3563,2371,4,966788268,1.0,2240|2301|2312|3527|1994|1298|2114|2115|2144|2145,1596|855|1539|3340|698|489|2233|516|2475|3312,M,25,2,33133,Fletch (1985),Comedy,1
43,2858,4,978026708,1.0,2369|2599|2605|2581|2394|2762|2396|2961|3114|3793,768|2484|863|3446|933|1567|3464|2359|3286|440,M,25,12,60614,American Beauty (1999),Comedy|Drama,1
197,2858,5,977029046,1.0,2324|1222|1060|1259|3160|3147|1246|265|3481|3538,2997|124|183|3209|2477|838|2409|1891|3881|2004,M,18,14,10023,American Beauty (1999),Comedy|Drama,1
833,2858,5,975363807,1.0,1193|527|593|1035|266|316|2688|3827|1704|2762,2517|1913|1591|3154|2437|1427|2538|3174|1235|1447,M,35,7,46825,American Beauty (1999),Comedy|Drama,1
1007,2858,3,975031413,1.0,1965|2518|2011|2054|2369|2378|2792|1091|2717|2259,3699|996|3872|1955|3526|3254|2344|1498|2561|2299,M,50,12,01960,American Beauty (1999),Comedy|Drama,0
2089,2858,4,994876854,1.0,3952|3543|3113|2333|2580|3053|3176|3384|2763|2600,1049|2017|2235|3754|3892|1591|576|2085|2495|1142,M,35,17,17601,American Beauty (1999),Comedy|Drama,1
2248,2858,1,974596608,1.0,2565|2657|1088|2877|1298|2135|1093|898|3362|3424,491|2559|2470|2339|2326|3309|352|1000|369|2198,F,35,12,46755,American Beauty (1999),Comedy|Drama,0
2830,2858,5,972944210,1.0,1198|1214|1222|1291|3836|2194|3062|1610|1580|2006,3920|814|3046|3530|2565|2157|1041|248|2999|1271,M,35,7,94506,American Beauty (1999),Comedy|Drama,1
2833,2858,3,972586872,1.0,3160|968|2502|1959|2692|314|3157|2702|3114|3287,3522|348|3545|1317|433|3028|2285|763|3504|3585,M,25,15,85003,American Beauty (1999),Comedy|Drama,0
